N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"55,200","2,100",+3.95%,100,"3,295,320","5,969,783",49.27,"19,012,382",8.37,13.92,
2,LG에너지솔루션,"444,500","18,000",+4.22%,500,"1,040,130","234,000",4.36,"382,932",738.37,10.68,
3,SK하이닉스,"86,200","3,100",+3.73%,"5,000","627,538","728,002",49.78,"4,120,388",5.47,16.84,
4,삼성바이오로직스,"811,000","4,000",+0.50%,"2,500","577,221","71,174",10.54,"42,180",107.86,8.21,
5,삼성전자우,"49,300","2,400",+5.12%,100,"405,683","822,887",71.42,"1,356,827",7.48,N/A,
6,LG화학,"555,000","19,000",+3.54%,"5,000","391,788","70,592",48.21,"229,426",19.57,18.47,
7,현대차,"179,500","3,000",+1.70%,"5,000","383,534","213,668",28.95,"822,499",7.96,6.84,
8,삼성SDI,"556,000","10,000",+1.83%,"5,000","382,331","68,765",44.75,"314,669",25.94,8.45,
9,기아,"72,800",900,+1.25%,"5,000","295,105","405,363",37.01,"1,049,078",5.57,14.69,
10,NAVER,"176,500","17,000",-8.79%,100,"289,547","164,049",52.72,"3,695,404",28.79,106.72,
11,카카오,"55,900","1,200",-2.10%,100,"248,929","445,311",28.22,"2,188,819",11.18,17.10,
12,셀트리온,"173,000","2,500",-1.42%,"1,000","243,570","140,792",21.26,"456,408",43.28,16.04,
13,삼성물산,"107,000","3,500",+3.38%,100,"199,969","186,887",16.46,"253,103",12.74,5.40,
14,POSCO홀딩스,"222,500","11,500",+5.45%,"5,000","188,171","84,571",53.64,"320,347",2.68,13.97,
15,현대모비스,"198,000","7,000",+3.66%,"5,000","187,255","94,573",35.45,"185,475",7.90,6.87,
16,KB금융,"44,700","1,000",+2.29%,"5,000","182,777","408,897",73.34,"1,101,209",3.95,9.80,
17,신한지주,"34,500","1,000",+2.99%,"5,000","176,962","512,934",61.67,"1,155,629",4.28,8.80,
18,SK,"201,500","9,500",+4.95%,200,"149,411","74,149",22.28,"108,279",4.52,10.19,
19,SK이노베이션,"154,000","10,500",+7.32%,"5,000","142,397","92,466",25.44,"374,226",5.63,1.91,
20,LG전자,"80,700","2,100",+2.67%,"5,000","132,064","163,648",25.59,"750,521",7.92,6.32,
21,한국전력,"19,850",250,-1.24%,"5,000","127,430","641,964",14.80,"1,189,327",-0.82,-7.99,
22,삼성생명,"61,200","1,200",-1.92%,500,"122,400","200,000",13.17,"243,048",16.77,4.01,
23,LG,"76,300","2,300",+3.11%,"5,000","120,021","157,301",36.20,"180,992",5.24,12.36,
24,KT&G,"87,000",400,+0.46%,"5,000","119,444","137,292",41.83,"470,096",11.28,10.74,
25,포스코케미칼,"153,500","3,500",+2.33%,500,"118,906","77,463",8.05,"674,570",86.72,7.92,
26,고려아연,"597,000","2,000",+0.34%,"5,000","118,583","19,863",17.16,"63,982",13.22,11.07,
27,SK텔레콤,"50,900",100,+0.20%,100,"111,386","218,833",46.54,"980,704",8.77,13.63,
